SNo,ObservationDate,Province/State,Country,Confirmed,Deaths,Recovered
1,01/22/2020,Anhui,Mainland China,,1,0,0
2,01/22/2020,Beijing,Mainland China,,14,0,0
3,01/22/2020,Chongqing,Mainland China,,6,0,0
4,01/22/2020,Fujian,Mainland China,,1,0,0
5,01/22/2020,Gansu,Mainland China,,0,0,0
6,01/22/2020,Guangdong,Mainland China,,26,0,0
7,01/22/2020,,Mainland China,,2,0,0
8,01/22/2020,,,,1,0,0
9,01/22/2020,,,,4,0,0
10,01/22/2020,Hebei,,,1,0,0
11,01/22/2020,Heilongjiang,,,0,0,0
12,01/22/2020,Henan,,,5,0,0
13,01/22/2020,Hong Kong,Hong Kong,,0,0,0
14,01/22/2020,Hubei,Mainland China,,444,17,28
15,01/22/2020,Hunan,Mainland China,,4,0,0
16,01/22/2020,Inner Mongolia,Mainland China,,0,0,0
17,01/22/2020,,Mainland China,,1,0,0
18,,,Mainland China,,2,0,0
19,,,Mainland China,1/22/2020 17:00,0,0,0
20,,Liaoning,Mainland China,1/22/2020 17:00,2,0,0
21,,Macau,Macau,1/22/2020 17:00,1,0,0
22,,Ningxia,Mainland China,1/22/2020 17:00,1,0,0
23,,Qinghai,Mainland China,1/22/2020 17:00,0,0,0
24,,Shaanxi,Mainland China,1/22/2020 17:00,0,0,0
25,,Shandong,Mainland China,1/22/2020 17:00,2,0,0
26,,Shanghai,Mainland China,1/22/2020 17:00,9,0,0
27,,Shanxi,Mainland China,1/22/2020 17:00,1,0,0
28,,Sichuan,Mainland China,1/22/2020 17:00,5,0,0
29,,Taiwan,Taiwan,1/22/2020 17:00,1,0,0
30,,Tianjin,Mainland China,1/22/2020 17:00,4,0,0
31,,Tibet,Mainland China,1/22/2020 17:00,0,0,0
32,,Washington,US,1/22/2020 17:00,1,0,0
33,,Xinjiang,Mainland China,1/22/2020 17:00,0,0,0
34,,Yunnan,Mainland China,1/22/2020 17:00,1,0,0
35,,Zhejiang,Mainland China,1/22/2020 17:00,10,0,0
36,,,Japan,1/22/2020 17:00,2,0,0
37,,,Thailand,1/22/2020 17:00,4,0,2
38,,,South Korea,1/22/2020 17:00,1,0,0
39,,Unknown,China,1/22/2020 17:00,0,0,0
40,01/22/2020,,Kiribati,1/22/2020 17:00,0,0,0
41,01/23/2020,Anhui,Mainland China,1/23/20 17:00,9,0,0
42,01/23/2020,Beijing,Mainland China,1/23/20 17:00,22,0,0
43,01/23/2020,Chongqing,Mainland China,1/23/20 17:00,9,0,0
44,01/23/2020,Fujian,Mainland China,1/23/20 17:00,5,0,0
45,01/23/2020,Gansu,Mainland China,1/23/20 17:00,2,0,0
46,01/23/2020,Guangdong,,1/23/20 17:00,32,0,2
47,01/23/2020,Guangxi,,1/23/20 17:00,5,0,0
48,01/23/2020,Guizhou,,1/23/20 17:00,3,0,0
49,01/23/2020,Hainan,,1/23/20 17:00,5,0,0
50,01/23/2020,Hubei,,1/23/20 17:00,444,17,28
51,01/23/2020,Heilongjiang,Mainland China,1/23/20 17:00,2,0,0
52,01/23/2020,Henan,Mainland China,1/23/20 17:00,5,0,0
53,01/23/2020,Hong Kong,Hong Kong,1/23/20 17:00,2,0,0
54,01/23/2020,Hubei,Mainland China,1/23/20 17:00,444,17,28
55,01/23/2020,Hunan,Mainland China,1/23/20 17:00,9,0,0
56,01/23/2020,Inner Mongolia,Mainland China,1/23/20 17:00,0,0,0
57,01/23/2020,Jiangsu,,1/23/20 17:00,5,0,0
58,01/23/2020,Jiangxi,,1/23/20 17:00,7,0,0
59,01/23/2020,Jilin,,1/23/20 17:00,1,0,0
60,01/23/2020,Liaoning,,1/23/20 17:00,3,0,0
61,01/23/2020,Macau,Macau,1/23/20 17:00,2,0,0
62,01/23/2020,Ningxia,Mainland China,1/23/20 17:00,1,0,0
63,01/23/2020,Qinghai,Mainland China,1/23/20 17:00,0,0,0
64,01/23/2020,Shaanxi,Mainland China,1/23/20 17:00,3,0,0
65,01/23/2020,Shandong,Mainland China,1/23/20 17:00,6,0,0
66,01/23/2020,Shanghai,Mainland China,1/23/20 17:00,16,0,0
67,01/23/2020,Shanxi,Mainland China,1/23/20 17:00,1,0,0
68,01/23/2020,Sichuan,Mainland China,1/23/20 17:00,8,0,0
69,01/23/2020,Taiwan,Taiwan,1/23/20 17:00,1,0,0
70,01/23/2020,Tianjin,Mainland China,1/23/20 17:00,4,0,0
71,01/23/2020,Tibet,Mainland China,1/23/20 17:00,0,0,0
72,01/23/2020,Washington,US,1/23/20 17:00,1,0,0
73,01/23/2020,Xinjiang,Mainland China,1/23/20 17:00,2,0,0
74,01/23/2020,Yunnan,Mainland China,1/23/20 17:00,2,0,0
75,01/23/2020,Zhejiang,Mainland China,1/23/20 17:00,27,0,0
76,01/23/2020,,Japan,1/23/20 17:00,1,0,0
77,01/23/2020,,Thailand,1/23/20 17:00,4,0,2
78,01/23/2020,,South Korea,1/23/20 17:00,1,0,0
79,01/23/2020,,Singapore,1/23/20 17:00,1,0,0
80,01/23/2020,,Philippines,1/23/20 17:00,0,0,0
81,01/23/2020,,Malaysia,1/23/20 17:00,0,0,0
82,01/23/2020,,Vietnam,1/23/20 17:00,2,0,0
83,01/23/2020,,Australia,1/23/20 17:00,0,0,0
84,01/23/2020,,Mexico,1/23/20 17:00,0,0,0
