Species,Owner,Country,Farm.Name,Lot.Number
Arabica,metad plc,Ethiopia,metad plc,
Arabica,metad plc,Ethiopia,metad plc,
Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",
Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,
Arabica,metad plc,Ethiopia,metad plc,
Arabica,ji-ae ahn,Brazil,,
Arabica,hugo valdivia,Peru,,
Arabica,ethiopia commodity exchange,Ethiopia,aolme,
Arabica,ethiopia commodity exchange,Ethiopia,aolme,
Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,
Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,
Arabica,cqi q coffee sample representative,United States,el filo,
Arabica,cqi q coffee sample representative,United States,los cedros,
Arabica,grounds for health admin,United States (Hawaii),arianna farms,
Arabica,ethiopia commodity exchange,Ethiopia,aolme,
Arabica,cqi q coffee sample representative,United States,el ??guila,
Arabica,grounds for health admin,Indonesia,toarco jaya,
Arabica,ethiopia commodity exchange,Ethiopia,,
Arabica,yunnan coffee exchange,China,echo coffee,YNC-06114
Arabica,essencecoffee,Ethiopia,drima zede,
Arabica,cqi q coffee sample representative,United States,el rodeo,
Arabica,the coffee source inc.,Costa Rica,several,
Arabica,roberto licona franco,Mexico,la herradura,
Arabica,cqi q coffee sample representative,United States,la curva,
Arabica,ji-ae ahn,Ethiopia,,
Arabica,nucoffee,Brazil,fazenda kaquend,
Arabica,ethiopia commodity exchange,Ethiopia,,
Arabica,kabum trading company,Uganda,chebonet (23) women coffee,
Arabica,bismarck castro,Honduras,los hicaques,102
Arabica,"lin, che-hao krude ?????????",Taiwan,tsoustructive garden ?????????,Tsoustructive 2015 Sumatra Typica
Arabica,nora zeas,Nicaragua,,
Arabica,specialty coffee-korea,"Tanzania, United Republic Of",,
Arabica,nucoffee,Brazil,fazenda recreio,
Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,
Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,
Arabica,daniel magu,Kenya,kangunu,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,
Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",
Arabica,cqi q coffee sample representative,United States,la primavera,
Arabica,itdp international,Thailand,co-op #12,
Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,
Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,
Arabica,"lin, che-hao krude ?????????",Taiwan,sunshine valley estate ??????????????????,
Arabica,jungle estate,Kenya,jungle estate,
Arabica,nucoffee,Brazil,fazenda kaquend,
Arabica,great lakes coffee uganda,Uganda,kaasayi,
Arabica,lusso lab,Colombia,ecobio colombia,
Arabica,lusso lab,Kenya,kianjavi,
Arabica,afca,Uganda,,
Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,
Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,
Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0252
Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,
Arabica,exportadora de cafe condor s.a,Colombia,,
Arabica,gonzalo hernandez,Panama,la berlina estate,Baby Geisha Washed
Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,,
Arabica,juan luis alvarado romero,Guatemala,valparaiso,
Arabica,juan luis alvarado romero,Guatemala,finca el limon,
Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,320
Arabica,dane loraas,Peru,,
Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry ??? bonta,
Arabica,atlantic specialty coffee,El Salvador,el majahual,
Arabica,lusso lab,El Salvador,finca la esmeralda,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,essencecoffee,Panama,elida estate,
Arabica,essencecoffee,Kenya,inoi,
Arabica,assefa belay coffee producer,Ethiopia,,
Arabica,kyagalanyi ltd,Uganda,buginyanya,
Arabica,juan luis alvarado romero,Guatemala,asoperc,
Arabica,assefa belay coffee producer,Ethiopia,,
Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,
Arabica,kona pacific farmers cooperative,United States (Hawaii),,
Arabica,nucoffee,Brazil,fazenda serra de tr??s barras,
Arabica,grounds for health admin,El Salvador,sierra nevada,
Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,YNC-16115
Arabica,essencecoffee,Guatemala,el injerto s.a.,
Arabica,the coffee source inc.,Costa Rica,several,
Arabica,the coffee source inc.,Costa Rica,several,
Arabica,rashid moledina & co. (msa) ltd.,Kenya,,
Arabica,ibero kenya limited,Kenya,,
Arabica,ethiopia commodity exchange,Ethiopia,phone number | 0911-513824 email: gmt.ft,
Arabica,ethiopia commodity exchange,Ethiopia,,
Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0177
Arabica,exportadora de cafe condor s.a,Colombia,various,
Arabica,compa??ia colombiana agroindustrial s.a,Colombia,,
Arabica,"nomura trading co., ltd.",Indonesia,,
Arabica,the coffee source inc.,Guatemala,coop. hoja blanca - fedecocagua,
Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,
Arabica,carcafe ltda ci,Colombia,,
Arabica,steven kil,Ethiopia,aricha coop,
Arabica,eileen koyanagi,United States (Hawaii),,
Arabica,carcafe ltda ci,Colombia,,
